Column1|Name|Birth Date|Death Date|Description|Indexes|Watsonline|Watsonline search|Wikipedia|Wikipedia search|AAVAD|AAVAD Search|Met Collection|Met Collection search|Wikidata ID|Library of Congress authority ID|VIAF ID|Union List of Artist Names ID
1|Abloh, Virgil|1980||architect; fashion designer||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Abloh%2C+Virgil%22%20or%20%22Virgil+Abloh%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Virgil_Abloh|||Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Abloh,%20Virgil&searchField=ArtistCulture|Q26703582|no2019000015|3243154015351200000000|
2|Abney, Nina Chanel|1982||painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Abney%2C+Nina+Chanel&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Nina_Chanel_Abney|||||Q27970540|no2017098898|123937428|500356173
3|Adams, Derrick|1970||designer; installation artist; painter; printmaker; time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Adams%2C+Derrick%22%20or%20%22Derrick+Adams%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Derrick_Adams|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=7654|Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Adams,%20Derrick&searchField=ArtistCulture|Q28656886|no2013127490|305452845|500524592
4|Adebimpe, Tunde|1975||time-based media artist||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=Adebimpe%2C+Tunde&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Tunde_Adebimpe|||||Q2415122|no2007090012|227540364|
5|Adeniyi-Jones, Tunji|1992||painter||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Adeniyi-Jones%2C+Tunji%22%20or%20%22Tunji+Adeniyi-Jones%22&searchscope=1|||||||Q110467057|||
6|Adkins, Terry|1953|2014|conceptual artist; interdisciplinary artist; performance artist; printmaker; sculptor; time-based media artist||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Adkins%2C+Terry+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Terry_Adkins|||Met Collection|https://www.metmuseum.org/art/collection/search#!?q=Adkins,%20Terry&searchField=ArtistCulture|Q7704039|nr98030154|59965885|500330027
7|Ahuja, Mequitta|1976||painter|Index of Asian American and Pacific Islander Artists|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Ahuja%2C+Mequitta+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Mequitta_Ahuja|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=11228|||Q3306173|no2011040403|169761606|500491396
8|Ali, Laylah|1968||painter; printmaker||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Ali%2C+Laylah+&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Laylah_Ali|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=3|||Q16002504|nr2002029425|12244289|500121046
9|Allen, James Latimer|1907|1977|photographer||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Allen%2C+James+Latimer%22%20or%20%22James+Latimer+Allen%22%20or%20%22Allen%2C+James+L%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/James_Latimer_Allen|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=630|||Q16008134|nr00001867|58916546|500339745
10|Allen, Tina|1949|2008|sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=%22Allen%2C+Tina%22%20or%20%22Tina+Allen%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Tina_Allen|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=878|||Q22341349|nr99029875|46684882|
