Match point|ULAN concat|Wikidata concat|VIAF concat|LC concat|Name|Label|Birth date|Death date|Ancestry/Heritage|Indexes|Description|Watsonline|Watsonline URL|Met Collection|Met Collection URL|Wikipedia|Wikipedia URL|Art Asia America|AAA URL
AAPI-0001|500487777|Q466654|79468708|n86857749|Abad, Pacita|Pacita Abad|1946|2004|Filipino/a/x||painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Abad%2C+Pacita%22%20or%20%22Pacita%20Abad%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Pacita_Abad||
AAPI-0970||Q47157454|102816611|no2007063757|Abbas, Hamra|Hamra Abbas|1976||Pakistani||sculptor;painter;installation artist|Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Abbas, Hamra""%20or%20""Hamra Abbas""&searchscope=1&SORT=A"||||||
AAPI-0002|500116914|Q7426381|96547973|no99018101|Abe, Satoru|Satoru Abe|1926||Japanese;Hawaiian (Kamaʻāina)||painter;sculptor|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Abe%2C+Satoru%22%20or%20%22Satoru%20Abe%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Satoru_Abe||
AAPI-1031||Q23881684|307448466|no2013110010|Abichandani, Jaishri|Jaishri Abichandani|1969||Indian||interdisciplinary artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Abichandani%2C+Jaishri%22+or+%22Jaishri+Abichandani%22&searchscope=1||||||
AAPI-0003||Q19867429|||Acebo Davis, Terry|Terry Acebo Davis|1953||Filipino/a/x||installation artist;mixed-media artist;printmaker|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Acebo%20Davis%2C+Terry%22%20or%20%22Terry%20Acebo%20Davis%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Terry_Acebo_Davis ||
AAPI-0004||Q63699186|102870357|no2012020565|Achjadi, Diyan|Diyan Achjadi|1971||Indonesian||draftsperson;printmaker;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Achjadi%2C+Diyan%22%20or%20%22Diyan%20Achjadi%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Diyan_Achjadi|artasiamerica|http://artasiamerica.org/artist/detail/73
AAPI-1157||Q86295182|||acierto, alejandro t.|alejandro t. acierto|||Filipino/a/x|Index of Latinx and Hispanic American Artists|performance artist;time-based media artist|Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""acierto, alejandro t.""%20or%20""alejandro t. acierto""&searchscope=1&SORT=A"||||||
AAPI-1158|||||Adachi, Margaret|Margaret Adachi|1952||Japanese||sculptor;installation artist;mixed-media artist|Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Adachi, Margaret""%20or%20""Margaret Adachi""&searchscope=1&SORT=A"||||||
AAPI-0005||Q29110238|7983149719121111130001||Agematsu, Yuji|Yuji Agematsu|1956||Japanese||assemblage artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Agematsu%2C+Yuji%22%20or%20%22Yuji%20Agematsu%22&searchscope=1||||||
AAPI-0007||Q19597819|||Aguhar, Mark |Mark Aguhar|1987|2012|Filipino/a/x||multidisciplinary artist;multimedia artist;performance artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Aguhar%2C+Mark%22%20or%20%22Mark%20Aguhar%22&searchscope=1|||Wikipedia|https://en.wikipedia.org/wiki/Mark_Aguhar||
AAPI-1159|500464887|Q5292140|7645151353545152720006|no2017159440|Ahn, Don|Don Ahn|1937|2013|Korean||painter|Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Ahn, Don""%20or%20""Don Ahn""&searchscope=1&SORT=A"|||Wikipedia|https://en.wikipedia.org/wiki/Don_Ahn||
