Match Point|Name|Geography|Watsonline|Watsonline URL|Wikipedia|Wikipedia URL|Met Collection|Met Collection URL|NAARCO|NAARCO URL|Medium|Birth Year|Death Year|Cross-Index|Wikidata ID|ULAN ID|VIAF URI|NACO|Alternate name(s)|Last name|First name
NA-1561|2Bears, Jackson|Northeast|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%222Bears%2C%20Jackson%22%20or%20%22Jackson%202Bears%22)%20or%20(%22Jackson%202%20Bears%22%20or%20%22Jackson%20Two%20Bears%22)%20or%20(%22Jackson%20TwoBears%22)&searchscope=1&SORT=R|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=53290c45-bf6d-4da0-aab1-be7be84f91fe|installation artist; interdisciplinary artist; multimedia artist; performance artist|1976|||Q121130297||http://viaf.org/viaf/311457057|no2019121657|J2B; Jackson 2 Bears; Jackson Two Bears; Jackson TwoBears; Jackson Two-Bears|2Bears|Jackson
NA-0526|Abeita, Jim|Navajo Region|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Abeita%2C%20Jim%22%20or%20%22Jim%20Abeita%22)%20or%20(%22jimmie%20abeita%22%20or%20%22jimmy%20abeita%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Jim_Abeita|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=1a4fb90e-f2d6-43ca-8aeb-9578f410253b|painter; draftsperson|1947|||Q94518303||http://viaf.org/viaf/128257647|no2010128330||Abeita|Jim
NA-0527|Abeita, Karen|Southwest; Western|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Abeita%2C%20Karen%22%20or%20%22Karen%20Abeita%22)%20or%20(%22Karen%20Lynne%20Abeita%22%20or%20%22karen%20l.%20abeita%22%20or%20%22karen%20abeyta%22)&searchscope=1&SORT=R|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=10fdf14d-b5a9-407c-b21e-a1d6f99a1a90|ceramicist / potter|1960|||Q115329380||||Karen Abeyta; Karen L. Abeita; Karen Lynne Abeita; Karen Abeita-Daws|Abeita|Karen
NA-1605|Abeyta, Elizabeth|Navajo Region|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Abeyta%2C%20Elizabeth%22%20or%20%22Elizabeth%20Abeyta%22)%20or%20(%22Elizabeth%20N.%20Abeyta%22)%20or%20(%22Elizabeth%20Nah%20Glee%20Eh%20Bah%20Abeyta%22)&searchscope=1&SORT=R|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=80383044-3b8f-44c7-8f19-5d114d23a72c|sculptor|1955|||Q106317927|500126325|http://viaf.org/viaf/35154196802320112417|no2018152496|Elizabeth Abeyta Rohrschieb; Elizabeth N. Abeyta; Elizabeth Nah Glee Eh Bah Abeyta; Elizabeth; Nah-Glee-Eh-Abeyta; Nah-glee-eh-bah|Abeyta|Elizabeth
NA-0038|Abeyta, Emiliano|Southwest|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Abeyta%2C%20Emiliano%22%20or%20%22Emiliano%20Abeyta%22)%20or%20(%22E.%20Abeita%22%20or%20%22Emiliano%20Abeita%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Emiliano_Abeyta|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=c214bce1-a8af-4d60-9be2-3d24d1461a2c|painter|1911|1981||Q104388987|||no2022126384|E. Abeita; Emiliano Abeita; Sa Pa|Abeyta|Emiliano
NA-0308|Abeyta, Narciso|Navajo Region|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Abeyta%2C%20Narciso%22%20or%20%22Narciso%20Abeyta%22)%20or%20(%22Narciso%20Platero%20Abeyta%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Narciso_Abeyta|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=6b6361a4-6b18-445e-be23-5c021dc81e6b|muralist; painter|1918|1998||Q15378570|500126326|http://viaf.org/viaf/61339001|no2007151461|"Ascending; Ha So De; Ha So Deh; Ha-So-De; Narcisco Abeyta; Narciso Platero Abeyta; Narcisso Abeyta; Cecil; Cisso; Ha-So-Da' Hoskiel Ha-So-Da; Hoskiel Ha-So-De; Narciso ""Ciso"" Platero Abeyta"|Abeyta|Narciso
NA-0372|Abeyta, Tony|Navajo Region|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Abeyta%2C+Tony%22+or+%22Tony+Abeyta%22+or+%22Antonio+Abeyta%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Abeyta%2C+Tony%22+or+%22Tony+Abeyta%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/Tony_Abeyta|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=966ada43-b9b3-4be2-a4f4-372d3eabf248|draftsperson; jewelry artist; mixed-media artist; muralist; painter; printmaker|1965|||Q94518306|500126291|http://viaf.org/viaf/96612718|no2011087170|Antonio Abeyta|Abeyta|Tony
NA-0885|Ace, Barry|Midwest & Central Canada|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Ace,%20Barry%22%20or%20%22Barry%20Ace%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Barry_Ace|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=0cf29154-2cb4-45e1-8df0-d3ba528903ee|beadwork artist; installation artist; mixed-media artist; painter; performance artist; printmaker; textile/fiber artist; time-based media artist|1958|||Q50426413|500487430|http://viaf.org/viaf/71338739|nr2004001731||Ace|Barry
NA-0039|Adair, Mary|Eastern Oklahoma; Southern Plains|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Adair%2C+Mary%22+or+%22Mary+Adair%22+or+%22Mary+HorseChief+Adair%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Adair%2C+Mary%22+or+%22Mary+Adair%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/Mary_Adair|||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=e640366c-4093-4cba-a330-ace93246564d|fashion/clothing designer; illustrator; painter|1936|||Q66349253|||no2022116718   |Mary Adair Horse Chief; Mary Adair HorseChief; Mary HorseChief Adair|Adair|Mary
NA-0531|Adams, Joshua|Southeast|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Adams%2C%20Joshua%22%20or%20%22Joshua%20Adams%22)%20or%20(%22Joshua%20L.%20Adams%22)&searchscope=1&SORT=R|||||NAARCO|https://5019.sydneyplus.com/Heard_Museum_ArgusNET_Final/Portal/Portal.aspx?component=AAAM&record=c3a41f92-130a-4cfa-949f-a719f42b03c4|carver; carver (wood); painter; photographer; ceramicist / potter|1982|||Q121130373||http://viaf.org/viaf/18161996962644430627|no2021050766|Joshua L. Adams|Adams|Joshua
