Wikidata ID|Display Name|Birth|Death|Indexes|Description|Watsonline|Watsonline URL|Wikipedia|Wikipedia URL|Met Collection|Met Collection URL|ULAN ID|VIAF ID|LC ID|Reference for inclusion as LGBTQIA+ artist|Reference for inclusion URL
Q237911|Abbéma, Louise|1853|1927||designer;painter;sculptor|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Louise Abbema%22+or+%22Abbema, Louise%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Louise_Abb%C3%A9ma|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Abbéma, Louise%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500020186|https://viaf.org/viaf/27114053|nr89015712|The Queer Encyclopedia of the Visual Arts|https://library.metmuseum.org:443/record=b1466091~S1
Q231861|Abbott, Berenice|1898|1991||photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Berenice Abbott%22+or+%22Abbott, Berenice%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Berenice_Abbott|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Abbott, Berenice%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500020631|https://viaf.org/viaf/44309674|n79059977|Artist's wikipedia entry|https://en.wikipedia.org/wiki/Berenice_Abbott
Q27970540|Abney, Nina Chanel|1982||Index of Black Artists of North America|painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=Abney%2C+Nina+Chanel&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Nina_Chanel_Abney|||http://vocab.getty.edu/page/ulan/500356173|https://viaf.org/viaf/123937428|no2017098898|"2023 exhibition ""Nina Chanel Abney: Big Butch Energy/Synergy"""|https://www.scadmoa.org/exhibitions/big-butch-energysynergy
Q63699186|Achjadi, Diyan|1971||Index of Asian American and Pacific Islander Artists|draftsperson;printmaker;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Achjadi%2C+Diyan%22%20or%20%22Diyan%20Achjadi%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Diyan_Achjadi||||https://viaf.org/viaf/102870357|no2012020565|Lesbian Art in America: A Contemporary History|https://library.metmuseum.org:443/record=b1290072~S1
Q1366554|Adrian (Gilbert Adrian)|1903|1959||costume designer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Adrian%2C+1903-1959%22+or+%22Gilbert+Adrian%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Adrian_(costume_designer)|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22gilbert+adrian%22|http://vocab.getty.edu/page/ulan/500549232|http://viaf.org/viaf/69834172||Artist's wikipedia entry|https://en.wikipedia.org/wiki/Adrian_(costume_designer)
Q3827717|Aguilar, Laura|1959|2018|Index of Latine and Hispanic American Artists|photographer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Aguilar%2C+Laura%22%20or%20%22Laura+Aguilar%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Laura_Aguilar|||http://vocab.getty.edu/page/ulan/500385842|https://viaf.org/viaf/41751986|nr98008428|Lesbian Art in America: A Contemporary History|https://library.metmuseum.org:443/record=b1290072~S1
Q123456860|Alleyne, Armando|1959||Index of Black Artists of North America|painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Alleyne,%20Armando%22%20or%20%22Armando%20Alleyne%22&searchscope=1&SORT=A||||||https://viaf.org/viaf/4806163997955302140000|no2022024076|The Latine Project at NYU|https://www.Latineproject.nyu.edu/intervenxions/armando-alleyne-a-few-of-my-favorites-review
Q468272|Allston, Washington|1779|1843||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Washington Allston%22+or+%22Allston, Washington%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Washington_Allston|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Allston, Washington%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500016005|https://viaf.org/viaf/57408203|n80010033|The Queer Encyclopedia of the Visual Arts|https://library.metmuseum.org:443/record=b1466091~S1
Q5041737|Almaraz, Carlos|1941|1989|Index of Latine and Hispanic American Artists|muralist;painter|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Almaraz%2C+Carlos%22%20or%20%22Carlos+Almaraz%22&searchscope=1&SORT=A|Wikipedia|https://en.wikipedia.org/wiki/Carlos_Almaraz|||http://vocab.getty.edu/page/ulan/500015785|https://viaf.org/viaf/95777860|n79071847|Axis Mundo : queer networks in Chicano L.A|https://library.metmuseum.org:443/record=b1954805~S1
Q7146049|Angus, Patrick|1953|1992||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Patrick Angus%22+or+%22Angus, Patrick%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Patrick_Angus|||http://vocab.getty.edu/page/ulan/500335869|https://viaf.org/viaf/60173918|no95053032|The Queer Encyclopedia of the Visual Arts|https://library.metmuseum.org:443/record=b1466091~S1
Q19864471|Anno, Kim|1958||Index of Asian American and Pacific Islander Artists|painter;photographer;time-based media artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Anno%2C+Kim%22%20or%20%22Kim%20Anno%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Kim_Anno|||http://vocab.getty.edu/page/ulan/500120901|https://viaf.org/viaf/96573029||Lesbian Art in America: A Contemporary History|https://library.metmuseum.org:443/record=b1290072~S1
Q234608|Arbus, Diane*|1923|1971||photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22diane+arbus%22+or+%22arbus,+diane%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Diane_Arbus|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Arbus, Diane%22&searchField=ArtistCulture||||Christies Pride timeline|https://www.christies.com/en/stories/pride-timeline---a-history-of-modern-queer-culture-and-art-4bcb8a08f9104b7f936b21b8644d3177
Q538225|Austen,  Alice|1866|1952||photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22alice+austen%22+or+%22austen%2C+alice%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Alice_Austen|Met Collection|https://www.metmuseum.org/art/collection/search?q=alice+austen&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500009604|http://viaf.org/viaf/47642060||Artist's wikipedia entry|https://en.wikipedia.org/wiki/Alice_Austen
Q6962543|Azara, Nancy|1939|||printmaker;sculptor|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Nancy Azara%22+or+%22Azara, Nancy%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Nancy_Azara|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Azara, Nancy%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500008810|https://viaf.org/viaf/41722483|nr94021616|Lesbian art in America : a contemporary history / Harmony Hammond|https://library.metmuseum.org:443/record=b1290072~S1
Q3788153|Azenor, Hélène|1910|2010||painter|Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(H%C3%A9l%C3%A8ne%20AND%20Azenor)&searchscope=1&SORT=R|Wikipedia|https://fr.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_Azenor||||https://viaf.org/viaf/1826158630985623370007;https://viaf.org/viaf/59114186|n90663819|Artist's wikipedia entry|https://it.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_Azenor
