Match point|ULAN ID|Library of Congress authority ID|Wikidata ID|Name|Birth date|Death date|Heritage/Ancestry|Watson Indexes|Description|Watsonline|Watsonline URL|Watsonline original|Wikipedia|Wikipedia URL|Met Collection|Met Collection URL|Notes
LA-0858|500329899|nr00019150|Q18097209|Abaroa, Eduardo|1968||Mexican||installation artist;performance artist;sculptor|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Abaroa%2C+Eduardo%22%20or%20%22Eduardo+Abaroa%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Abaroa, Eduardo""%20or%20""Eduardo Abaroa""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Eduardo_Abaroa_(artist)|||born in Mexico city moved to CA in 2001
LA-0141|500118427|no98118640|Q7357131|Abularach, Rodolfo|1933|2020|Guatemalan||painter;printmaker|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Abularach%2C+Rodolfo%22%20or%20%22Rodolfo+Abularach%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Abularach, Rodolfo""%20or%20""Rodolfo Abularach""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Rodolfo_Abularach|||born in Guatemala, moved to NY in 1958 and stayed until 2005
LA-0288||no2020125832|Q26904106|Acevedo, Manuel|1964|||||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Acevedo%2C+Manuel%22%20or%20%22Manuel+Acevedo%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Acevedo, Manuel""%20or%20""Manuel Acevedo""&searchscope=1&SORT=A"|||||born and active in New Jersey
LA-0852||no2018090303||Acevedo, Pavel|||Mexican|||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Acevedo%2C+Pavel%22%20or%20%22Pavel+Acevedo%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Acevedo, Pavel""%20or%20""Pavel Acevedo""&searchscope=1&SORT=A"|||||
LA-0023|500076292|n84183911|Q4678508|ADÁL (Adál Maldonado)|1948|2020|Puerto Rican;Nuyorican||photographer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22ADÁL%22%20or%20%22Adál+Alberto+Maldonado%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""ADÁL""%20or%20""Adál Alberto Maldonado""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Ad%C3%A1l_Maldonado|Met Collection|https://www.metmuseum.org/art/collection/search?q=ADÁL&searchField=ArtistCulture|ADÁL, portrait photographer associated with the Nuyorican movement, born in Puerto Rico, moved to Trenton, New Jersey, when he was 13, and then to the Bronx when he was 17
LA-0289||no2011140557||Adame, Felipe|1942|2017|Mexican||muralist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Adame%2C+Felipe%22%20or%20%22Felipe+Adame%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Adame, Felipe""%20or%20""Felipe Adame""&searchscope=1&SORT=A"|||||based in El Paso
LA-0161|||Q109967719|Agüero-Esparza, Pilar|1966||Mexican||painter;sculptor|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Agüero-Esparza%2C+Pilar%22%20or%20%22Pilar+Agüero-Esparza%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Agüero-Esparza, Pilar""%20or%20""Pilar Agüero-Esparza""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Pilar_Ag%C3%BCero-Esparza|||born and raised LA
LA-0181||||Aguilar, Alberto|||Mexican||multidisciplinary artist|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Aguilar%2C+Alberto%22%20or%20%22Alberto+Aguilar%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Aguilar, Alberto""%20or%20""Alberto Aguilar""&searchscope=1&SORT=A"|||||born and raised chicago, best friend of Jorge Lucero
LA-0290|500385842|nr98008428|Q3827717|Aguilar, Laura|1959|2018|Mexican;Chicano/a/x||photographer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Aguilar%2C+Laura%22%20or%20%22Laura+Aguilar%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Aguilar, Laura""%20or%20""Laura Aguilar""&searchscope=1&SORT=A"|Wikipedia|https://en.wikipedia.org/wiki/Laura_Aguilar|||born and raised in/around LA
LA-0182|500678077|n82154207|Q20666282|Aguilera-Hellweg, Max|1955||||photographer|Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Aguilera-Hellweg%2C+Max%22%20or%20%22Max+Aguilera-Hellweg%22&searchscope=1&SORT=A|"https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=""Aguilera-Hellweg, Max""%20or%20""Max Aguilera-Hellweg""&searchscope=1&SORT=A"|||||lives and works in connecticut
